sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / PKG","camunda-platform-tasklist-9968d5594-9257r / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-9257r / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-9257r / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / OTHER"
2024-02-13 15:23:40,0.371,0.364,0.183,0.181,0.286,0.212,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:23:50,0.369,0.359,0.181,0.186,0.278,0.196,0.0336,0.0336,0.0168,0.0168,0.0168,0.0168,0,0,0,0,0,0
2024-02-13 15:24:00,0.530,0.559,0.312,0.244,0.464,0.289,0.0474,0.0474,0.0237,0.0237,0.0237,0.0237,0,0,0,0,0,0
2024-02-13 15:24:10,0.370,0.371,0.185,0.183,0.283,0.199,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:24:20,0.375,0.391,0.184,0.184,0.295,0.198,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:24:30,0.496,0.491,0.256,0.244,0.403,0.260,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:24:40,0.369,0.370,0.184,0.182,0.281,0.208,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:24:50,0.378,0.514,0.188,0.188,0.327,0.213,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:25:00,0.553,0.676,0.267,0.288,0.534,0.313,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-13 15:25:10,0.376,0.510,0.186,0.183,0.310,0.206,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:25:20,0.381,0.370,0.186,0.184,0.399,0.239,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:25:30,0.508,0.504,0.260,0.246,0.379,0.268,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0
2024-02-13 15:25:40,0.372,0.374,0.185,0.183,0.296,0.198,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:25:50,0.518,0.369,0.185,0.212,0.325,0.205,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:26:00,0.777,0.535,0.280,0.254,0.487,0.291,0.0468,0.0468,0.0234,0.0234,0.0234,0.0234,0,0,0,0,0,0
2024-02-13 15:26:10,0.385,0.377,0.187,0.184,0.350,0.220,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:26:20,0.371,0.370,0.185,0.186,0.320,0.200,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:26:30,0.508,0.494,0.247,0.244,0.423,0.396,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:26:40,0.372,0.364,0.184,0.181,0.308,0.205,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:26:50,0.426,0.370,0.186,0.187,0.304,0.203,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:27:00,0.555,0.501,0.253,0.248,0.459,0.281,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:27:10,0.367,0.402,0.182,0.181,0.297,0.198,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:27:20,0.382,0.368,0.186,0.215,0.349,0.209,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:27:30,0.513,0.494,0.280,0.245,0.436,0.275,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-13 15:27:40,0.373,0.377,0.186,0.184,0.313,0.205,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:27:50,0.381,0.371,0.186,0.188,0.332,0.201,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
