sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7fd698449b-vvm76","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-5bc7c489c4-8xh6n","camunda-platform-tasklist-9968d5594-82sgg","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5ff76496c4-vf4q5","console-worker-console-worker-chart-camunda-8-go-console-whvxc2","coredns-77ccd57875-qkp4q","kepler-ln5kk","kube-prometheus-stackr-grafana-7ffd75f6bd-42n6h","kube-prometheus-stackr-kube-state-metrics-5f4cb89995-qf4pn","kube-prometheus-stackr-operator-7c7767ffc-sdpxc","kube-prometheus-stackr-prometheus-node-exporter-jwms7","load-controller-58b9d65bf8-mm8d9","load-controller-644684d46f-q72xk","load-controller-66cf7f68-hmt2r","load-controller-66cf7f68-rttrm","load-controller-67c58875f5-ppk6k","load-controller-684f654f8f-fwwhx","load-controller-6c875465d-9nfmj","load-controller-78654477db-7h79d","load-controller-7cd88f89fb-6h24w","load-controller-7cd88f89fb-98h2w","load-controller-7cd88f89fb-pw9k6","load-controller-84f88854fb-nwg5d","load-controller-89c75c689-mjwmf","load-controller-c48bd755c-8twph","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-7cd449c7c9-q9lzx","restworkerjava-7f998589b5-tccv8","restworkerjava-b4485bd46-mj52s","restworkerjava-dfbc8756-4g77l","restworkerjava-dfbc8756-4lqdh","restworkerjava-dfbc8756-4q4st","restworkerjava-dfbc8756-6j9jb","restworkerjava-dfbc8756-77lrm","restworkerjava-dfbc8756-7dh9j","restworkerjava-dfbc8756-89txf","restworkerjava-dfbc8756-9kbrz","restworkerjava-dfbc8756-9rrdr","restworkerjava-dfbc8756-bhtxw","restworkerjava-dfbc8756-c4lpd","restworkerjava-dfbc8756-dh28k","restworkerjava-dfbc8756-dr98f","restworkerjava-dfbc8756-dtcnc","restworkerjava-dfbc8756-g4k92","restworkerjava-dfbc8756-j5cp6","restworkerjava-dfbc8756-j7lvh","restworkerjava-dfbc8756-js8dz","restworkerjava-dfbc8756-jx96t","restworkerjava-dfbc8756-kd64r","restworkerjava-dfbc8756-kqzlz","restworkerjava-dfbc8756-ln9ms","restworkerjava-dfbc8756-mb9l6","restworkerjava-dfbc8756-nblzj","restworkerjava-dfbc8756-pbwzt","restworkerjava-dfbc8756-rqf8k","restworkerjava-dfbc8756-rx95h","restworkerjava-dfbc8756-t6kb8","restworkerjava-dfbc8756-t6mrd","restworkerjava-dfbc8756-xpz7n","restworkerjava-dfbc8756-zjg5w","restworkerjava-dfbc8756-zxmb6","svclb-traefik-5671c552-795qx","test-responder-7f775dc4f9-9pzkz","test-responder-84465bf468-xpb5w","traefik-768bdcdcdd-4f8ms"
2023-12-12 15:56:00,,0.00310,0.00936,0.173,0.257,0.0977,0.0336,0.419,0.0653,0.00242,0.00572,0.0369,0.0579,0.00254,0.00273,0.00442,0,,,,,,,,,,,,,,0.00101,0.0205,0.0713,,,,0.0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0162,,0.00713
2023-12-12 15:58:00,12,0.00232,0.00664,0.142,0.169,0.0713,0.0323,0.467,0.133,0.000692,0.0166,0.0464,0.0378,0.00739,0.00423,0.00970,0,,,,,,,,,,,,,,0.000511,0.0351,0.0684,,,,0.0808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0247,,0.00627
2023-12-12 16:00:00,,0.00393,0.0460,0.133,0.186,0.116,0.0377,0.428,0.0769,0.000903,0.0331,0.0309,0.0767,0.00378,0.00637,0.00544,0,,,,,,,,,,,,,,0.000616,0.0357,0.139,,,,0.0420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0211,,0.00789
2023-12-12 16:02:00,12,0.00594,0.0170,0.285,0.220,0.106,0.0502,0.272,0.0545,0.00496,0.208,0.00265,0.0377,0.00499,0.0249,0.0184,0,,,,,,,,,,,,,,0.00254,0.0787,0.0602,,,,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0114,,0.0505
2023-12-12 16:04:00,12,0.00717,0.0378,0.466,0.309,0.115,0.0734,0.489,0.0892,0.0106,0.164,0.125,0.0523,0.0151,0.0114,0.0295,0,,,,,,,,,,,,,,0.00153,0.0646,0.205,,,,0.0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0147,,0.133
2023-12-12 16:06:00,12,0.0341,0.0111,0.0285,3.22,0.0199,0.278,0.444,0.0219,0.000701,0.170,0.0362,0.0229,0.0236,0.0667,0.0352,0.335,,,,,,,,,,,,,,0.000267,0.0784,0.454,,,,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00265,,0.186
2023-12-12 16:08:00,12,0.000251,0.00207,0.0786,0.144,0.0629,0.0166,0.261,0.0479,0.00210,0.00179,0.0164,0.00183,0.000172,0.0000825,0.00675,0.335,,,,,,,,,,,,,,0.000422,0.00286,0.0109,,,,0.0162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0146,,0.0530
2023-12-12 16:10:00,12,0.000167,0.00186,0.0702,0.0826,0.0485,0.0191,0.270,0.0471,0.000209,0.00159,0.0134,0.00167,0.000160,0.000528,0.000891,0,,,,,,,,,,,,,,0.000261,0.00317,0.0137,,,,0.0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0117,,0.000128
2023-12-12 16:12:00,12,0.000208,0.00286,0.130,0.109,0.0605,0.0205,0.293,0.0530,0.000218,0.00194,0.0140,0.00196,0.000358,0.000182,0.00157,0.00345,,,,,,,,,,,,,,0.000331,0.00288,0.0139,,,,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0159,,0.000136
2023-12-12 16:14:00,12,0.000106,0.00208,0.0915,0.102,0.0600,0.0262,0.297,0.0483,0.000215,0.00170,0.0143,0.00627,0.000182,0.000216,0.00297,0.00345,,,,,,,,,,,,,,0.000208,0.00288,0.0119,,,,0.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0149,,0.000341
2023-12-12 16:16:00,12,0.0000936,0.00243,0.108,0.0930,0.0705,0.0168,0.278,0.0515,0.000252,0.00183,0.0123,0.00363,0.000148,0.000345,0.00144,0,,,,,,,,,,,,,,0.000365,0.00309,0.0154,,,,0.0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0154,,0.00383
2023-12-12 16:18:00,12,0.000190,0.0112,0.108,0.0974,0.0634,0.0177,0.294,0.0520,0.000193,0.00171,0.0234,0.00949,0.000177,0.000188,0.00199,0,,,,,,,,,,,,,,0.000229,0.00265,0.0126,,,,0.0197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0142,,0.000822
2023-12-12 16:20:00,12,0.000199,0.00498,0.0833,0.105,0.0614,0.0144,0.318,0.0507,0.000186,0.00170,0.0139,0.00241,0.000197,0.000129,0.00171,0,,,,,,,,,,,,,,0.000226,0.00310,0.0102,,,,0.0190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0146,,0.000401
2023-12-12 16:22:00,12,0.000172,0.00152,0.0888,0.131,0.0697,0.0193,0.303,0.0525,0.000220,0.00178,0.0137,0.00207,0.000226,0.000143,0.00161,0,,,,,,,,,,,,,,0.000490,0.00308,0.0125,,,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0165,,0.000374
2023-12-12 16:24:00,12,0.000190,0.00169,0.0877,0.101,0.0629,0.0197,0.300,0.0638,0.000245,0.00196,0.0141,0.00340,0.000200,0.000138,0.00126,0,,,,,,,,,,,,,,0.000351,0.00320,0.0120,,,,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0164,,0.000399
2023-12-12 16:26:00,12,0.000121,0.00173,0.0939,0.111,0.0674,0.0171,0.287,0.0498,0.000185,0.00191,0.0148,0.00451,0.000195,0.000235,0.00109,0,,,,,,,,,,,,,,0.000331,0.00301,0.0108,,,,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0157,,0.000370
2023-12-12 16:28:00,12,0.000113,0.00233,0.164,0.148,0.0852,0.0262,0.343,0.0607,0.000213,0.00190,0.0161,0.00420,0.000229,0.000281,0.000997,0,,,,,,,,,,,,,,0.000339,0.00292,0.0122,,,,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0183,,0.000117
2023-12-12 16:30:00,12,0.000257,0.00167,0.100,0.0986,0.0643,0.0218,0.322,0.0530,0.000193,0.00193,0.0139,0.00547,0.000187,0.000192,0.00166,0,,,,,,,,,,,,,,0.000351,0.00289,0.0116,,,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0164,,0.000134
2023-12-12 16:32:00,12,0.000141,0.00151,0.0970,0.155,0.0694,0.0186,0.296,0.0494,0.000248,0.00200,0.0132,0.00142,0.000199,0.000207,0.00190,0,,,,,,,,,,,,,,0.000205,0.00272,0.0127,,,,0.0237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0163,,0.000109
2023-12-12 16:34:00,12,0.000136,0.00175,0.103,0.141,0.0654,0.0220,0.337,0.0522,0.000236,0.00186,0.0126,0.00249,0.000229,0.000138,0.00106,0,,,,,,,,,,,,,,0.000347,0.00290,0.0130,,,,0.0253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0166,,0.0000791
2023-12-12 16:36:00,12,0.000174,0.00224,0.100,0.128,0.0644,0.0201,0.302,0.0514,0.000196,0.00173,0.0163,0.00267,0.000229,0.000337,0.00157,0,,,,,,,,,,,,,,0.000398,0.00309,0.0116,,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0150,,0.000515
2023-12-12 16:38:00,12,0.000225,0.00146,0.0917,0.115,0.0730,0.0212,0.319,0.0584,0.000194,0.00275,0.0140,0.00272,0.000205,0.000135,0.00147,0,,,,,,,,,,,,,,0.000242,0.00302,0.0103,,,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0176,,0.000103
2023-12-12 16:40:00,12,0.000215,0.00147,0.0950,0.121,0.0655,0.0196,0.319,0.0516,0.000220,0.00190,0.0123,0.00479,0.000213,0.000116,0.00197,0,,,,,,,,,,,,,,0.000214,0.00271,0.0113,,,,0.0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0171,,0.0000975
2023-12-12 16:42:00,12,0.0000963,0.00248,0.0968,0.111,0.0708,0.0220,0.301,0.0542,0.000185,0.00207,0.0132,0.00581,0.000216,0.0000993,0.00122,0,,,,,,,,,,,,,,0.000256,0.00273,0.0134,,,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0169,,0.000118
2023-12-12 16:44:00,12,0.000287,0.00168,0.100,0.183,0.0691,0.0202,0.324,0.0554,0.000201,0.00224,0.0127,0.00231,0.000266,0.000123,0.00144,0,,,,,,,,,,,,,,0.000256,0.00454,0.0157,,,,0.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0172,,0.000106
2023-12-12 16:46:00,12,0.000893,0.00133,0.102,0.126,0.0662,0.0200,0.321,0.0489,0.000214,0.00192,0.0136,0.00264,0.000216,0.000304,0.00132,0,,,,,,,,,,,,,,0.000258,0.00322,0.0124,,,,0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0160,,0.000355
2023-12-12 16:48:00,12,0.000221,0.00145,0.114,0.116,0.0682,0.0205,0.291,0.0544,0.000191,0.00180,0.0134,0.00261,0.000282,0.000144,0.00122,0,,,,,,,,,,,,,,0.000353,0.00293,0.0162,,,,0.0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0167,,0.000171
2023-12-12 16:50:00,12,0.000507,0.00169,0.127,0.101,0.0690,0.0220,0.363,0.0608,0.000202,0.00187,0.0137,0.00287,0.000450,0.000125,0.00178,0,,,,,,,,,,,,,,0.000587,0.00276,0.0132,,,,0.0241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0167,,0.000125
2023-12-12 16:52:00,12,0.000409,0.00146,0.105,0.136,0.0727,0.0198,0.333,0.0531,0.000206,0.00159,0.0141,0.00422,0.000191,0.0000168,0.00261,0,,,,,,,,,,,,,,0.000347,0.00286,0.0121,,,,0.0218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0175,,0.000106
2023-12-12 16:54:00,12,0.00325,0.00145,0.103,0.127,0.0680,0.0223,0.323,0.0543,0.000182,0.00187,0.0127,0.00581,0.000214,0.000169,0.00129,0,,,,,,,,,,,,,,0.000526,0.00281,0.0131,,,,0.0211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0163,,0.000175
2023-12-12 16:56:00,12,0.000410,0.00176,0.0999,0.104,0.0677,0.0198,0.332,0.0552,0.000193,0.00187,0.0138,0.00627,0.000178,0.000447,0.00190,0,,,,,,,,,,,,,,0.000374,0.00309,0.0164,,,,0.0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0170,,0.000360
2023-12-12 16:58:00,12,0.000449,0.00133,0.0975,0.105,0.0634,0.0210,0.332,0.0556,0.000227,0.00180,0.0130,0.00215,0.000284,0.000135,0.00137,0,,,,,,,,,,,,,,0.000318,0.00284,0.0132,,,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0167,,0.000146
2023-12-12 17:00:00,12,0.000119,0.00139,0.117,0.121,0.0794,0.0252,0.373,0.0613,0.000210,0.00197,0.0131,0.00273,0.000380,0.000150,0.00201,0,,,,,,,,,,,,,,0.000491,0.00286,0.0132,,,,0.0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0204,,0.000209
2023-12-12 17:02:00,12,0.000478,0.00147,0.112,0.118,0.0717,0.0220,0.353,0.0555,0.000208,0.00149,0.0167,0.00360,0.000239,0.000123,0.00155,0,,,,,,,,,,,,,,0.000448,0.00298,0.0139,,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0164,,0.000166
2023-12-12 17:04:00,12,0.000367,0.00142,0.102,0.116,0.0624,0.0199,0.330,0.0511,0.000203,0.00161,0.0116,0.00490,0.000190,0.000269,0.00152,0,,,,,,,,,,,,,,0.000436,0.00325,0.0122,,,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0175,,0.000137
2023-12-12 17:06:00,12,0.000305,0.00143,0.103,0.112,0.0696,0.0193,0.314,0.0552,0.000183,0.00181,0.0121,0.00345,0.000247,0.000271,0.00198,0,,,,,,,,,,,,,,0.000359,0.00356,0.0120,,,,0.0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0167,,0.000300
