sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7d745cc4cd-lk6h4","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-745dd6ffbd-hd2s7","camunda-platform-tasklist-595f9975f6-62bbr","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8","console-worker-console-worker-chart-camunda-8-go-console-wfzxss","coredns-77ccd57875-qkp4q","kepler-8czsm","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb","kube-prometheus-stackr-operator-8f879775f-f2q87","kube-prometheus-stackr-prometheus-node-exporter-qw4m2","load-controller-5445f6d748-hgqvd","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-556c56b566-dx98j","restworkerjava-5cbbbdbc55-qxwl4","restworkerjava-67c4cdf457-bc649","restworkerjava-67fb7c7c59-v7wmm","restworkerjava-6bb6fdcc85-k4kdh","restworkerjava-77c95dd488-5z6bl","restworkerjava-7f99bf486d-5rv2m","restworkerjava-86b6d57d68-95jmw","restworkerjava-fdcf7776b-dt2lz","svclb-traefik-5671c552-795qx","test-responder-5768c7fbf7-9ppfr","traefik-768bdcdcdd-4f8ms"
2023-11-29 11:50:00,12,0.000303,0.00131,0.00560,0.00611,0.00231,0.00134,0.0793,0.0153,0.000183,0.000994,0.00600,0.00159,0.000100,0.000443,0.00171,0.000568,0.000244,0.00290,0.0127,,,,0.000681,,,,,,0,0.000562,0.0000834
2023-11-29 11:52:00,12,0.000435,0.00235,0.00808,0.00620,0.00221,0.00391,0.0787,0.0151,0.000191,0.000973,0.00882,0.000469,0.000164,0.000295,0.00140,0.000561,0.000261,0.00251,0.0199,,,,0.000727,,,,,,0,0.000547,0.0000862
2023-11-29 11:54:00,12,0.000287,0.00126,0.00671,0.00576,0.00222,0.00116,0.0787,0.0150,0.000178,0.000848,0.00883,0.00192,0.000200,0.000197,0.00191,0.000553,0.000220,0.00250,0.00728,,,,,,,0.000638,,,0,0.000523,0.0000982
2023-11-29 11:56:00,12,0.000345,0.00219,0.00593,0.00588,0.00202,0.00317,0.0785,0.0151,0.000173,0.000918,0.0103,0.00200,0.000130,0.000161,0.00138,0.000538,0.000358,0.00250,0.0162,,,,,,,0.000675,,,0,0.000543,0.000107
2023-11-29 11:58:00,12,0.000401,0.00128,0.00567,0.00677,0.00197,0.00322,0.0781,0.0148,0.000214,0.000893,0.00715,0.00396,0.000350,0.000150,0.00148,0.000506,0.000318,0.00243,0.0160,,,,,,,0.000797,,,0,0.000519,0.000123
2023-11-29 12:00:00,12,0.000326,0.00236,0.00549,0.00570,0.00209,0.00125,0.0778,0.0147,0.000183,0.000862,0.0104,0.00378,0.000157,0.000122,0.00126,0.000505,0.000253,0.00261,0.0122,,,,,,,0.000558,,,0,0.000544,0.0000847
2023-11-29 12:02:00,12,0.000288,0.00126,0.00574,0.00790,0.00183,0.00114,0.0788,0.0148,0.000207,0.000863,0.00942,0.00194,0.000154,0.000177,0.00114,0.000509,0.000241,0.00256,0.0171,,,,,,,0.000691,,,0,0.000510,0.000115
2023-11-29 12:04:00,12,0.000281,0.00122,0.00628,0.00702,0.00213,0.00212,0.0792,0.0152,0.000173,0.000907,0.00854,0.00164,0.000269,0.000152,0.00155,0.000515,0.000323,0.00238,0.0164,,,,,,,0.000621,,,0,0.000504,0.000102
2023-11-29 12:06:00,12,0.000324,0.00126,0.00565,0.00610,0.00215,0.00103,0.0785,0.0145,0.000209,0.000872,0.00732,0.00225,0.000186,0.0000836,0.00114,0.000504,0.000367,0.00258,0.0154,,,,,,,0.000545,,,0,0.000530,0.0000962
2023-11-29 12:08:00,12,0.000308,0.00117,0.00608,0.00536,0.00334,0.00164,0.0780,0.0148,0.000195,0.000843,0.00943,0.00200,0.000234,0.000174,0.00116,0.000513,0.000345,0.00255,0.0116,,,,,,,0.000577,,,0,0.000530,0.0000786
