sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","CreateProcessInstance (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-14 18:51:10,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 18:51:20,,0,0,2,7.20,0.200,0,,0,,,9.40
2024-02-14 18:51:30,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:51:40,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:51:50,,0,0,3.80,11.4,0,0,,0,,,15.2
2024-02-14 18:52:00,,0,0,2.80,12.6,0,0,,0,,,15.4
2024-02-14 18:52:10,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:52:20,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:52:30,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:52:40,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:52:50,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:53:00,,0,0,3.20,11.2,0,0,,0,,,14.4
2024-02-14 18:53:10,,0,0,4,12.8,0,0,,0,,,16.8
2024-02-14 18:53:20,,0,0,1.90,7.20,0.200,0,,0,,,9.30
2024-02-14 18:53:30,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:53:40,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 18:53:50,,0,0,3.40,11.2,0,0,,0,,,14.6
2024-02-14 18:54:00,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:54:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:54:20,,0,0,3.70,11.4,0,0,,0,,,15.1
2024-02-14 18:54:30,,0,0,3.10,12.6,0,0,,0,,,15.7
2024-02-14 18:54:40,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:54:50,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:55:00,,0,0,3.20,11.2,0,0,,0,,,14.4
2024-02-14 18:55:10,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:55:20,,0,0,2.20,8.80,0.200,0,,0,,,11.2
2024-02-14 18:55:30,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:55:40,,0,0,3.20,11.2,0,0,,0,,,14.4
2024-02-14 18:55:50,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:56:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:56:10,,0,0,3.30,11.4,0,0,,0,,,14.7
2024-02-14 18:56:20,,0,0,3,12.6,0,0,,0,,,15.6
