sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-10 11:10:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:10:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:10:30,,0,0.600,0.900,0.300,0,0,0,,,1.80
2024-02-10 11:10:40,,0,3.80,25.5,0.100,0,0,0,,,29.4
2024-02-10 11:10:50,,0,4.20,23.5,0,0,0,0,,,27.7
2024-02-10 11:11:00,,0.100,3.90,25.3,0,0,0,0,,,29.3
2024-02-10 11:11:10,,0,4.70,24.9,0,0,0,0,,,29.6
2024-02-10 11:11:20,,0,5,23.1,0,0,0,0,,,28.1
2024-02-10 11:11:30,,0,2.90,25.6,0,0,0,0,,,28.5
2024-02-10 11:11:40,,0,8.10,45.6,0.400,0,0,0,,,54.1
2024-02-10 11:11:50,,0,6.40,46.4,0,0,0,0,,,52.8
2024-02-10 11:12:00,,0,4.50,24,0,0,0,0,,,28.5
2024-02-10 11:12:10,,0,4.60,24.8,0,0,0,0,,,29.4
2024-02-10 11:12:20,,0,3.90,23.2,0,0,0,0,,,27.1
2024-02-10 11:12:30,,0,4.60,25.6,0,0,0,0,,,30.2
2024-02-10 11:12:40,,0,4.40,24.8,0,0,0,0,,,29.2
2024-02-10 11:12:50,,0,4.70,24,0,0,0,0,,,28.7
2024-02-10 11:13:00,,0,0.500,3.20,0,0,0,0,,,3.70
2024-02-10 11:13:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:13:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:13:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:13:40,,0,3.70,20,0.400,0,0,0,,,24.1
2024-02-10 11:13:50,,0,4.70,22.4,0,0,0,0,,,27.1
2024-02-10 11:14:00,,0,3,25.6,0,0,0,0,,,28.6
2024-02-10 11:14:10,,0,3.10,25.6,0,0,0,0,,,28.7
2024-02-10 11:14:20,,0,3.10,25.2,0,0,0,0,,,28.3
2024-02-10 11:14:30,,0,3.50,22.8,0,0,0,0,,,26.3
2024-02-10 11:14:40,,0,6.60,39.3,0.400,0,0,0,,,46.3
2024-02-10 11:14:50,,0,5.30,45.5,0,0,0,0,,,50.8
2024-02-10 11:15:00,,0,4.80,31.2,0,0,0,0,,,36
2024-02-10 11:15:10,,0,4.20,24.8,0,0,0,0,,,29
2024-02-10 11:15:20,,0,4.80,23.5,0,0,0,0,,,28.3
2024-02-10 11:15:30,,0,3.60,24.5,0,0,0,0,,,28.1
2024-02-10 11:15:40,,0,4.60,25.6,0,0,0,0,,,30.2
2024-02-10 11:15:50,,0,4.50,25.6,0,0,0,0,,,30.1
2024-02-10 11:16:00,,0,1.60,8.80,0,0,0,0,,,10.4
2024-02-10 11:16:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:16:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:16:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:16:40,,0,3.20,12.8,0.400,0,0,0,,,16.4
2024-02-10 11:16:50,,0,5.50,24,0,0,0,0,,,29.5
2024-02-10 11:17:00,,0,3.10,25.6,0,0,0,0,,,28.7
2024-02-10 11:17:10,,0,3,24,0,0,0,0,,,27
2024-02-10 11:17:20,,0,4.20,24,0,0,0,0,,,28.2
2024-02-10 11:17:30,,0,4.80,24.2,0,0,0,0,,,29
2024-02-10 11:17:40,,0,5.40,32.6,0.400,0,0,0,,,38.4
2024-02-10 11:17:50,,0,5.90,48.6,0,0,0,0,,,54.5
2024-02-10 11:18:00,,0,5.70,37,0,0,0,0,,,42.7
2024-02-10 11:18:10,,0,4.60,25.2,0,0,0,0,,,29.8
2024-02-10 11:18:20,,0,3,22.8,0,0,0,0,,,25.8
2024-02-10 11:18:30,,0,2.60,25.6,0,0,0,0,,,28.2
2024-02-10 11:18:40,,0,2.20,23.2,0,0,0,0,,,25.4
2024-02-10 11:18:50,,0,3.20,24.8,0,0,0,0,,,28
2024-02-10 11:19:00,,0,3.20,16,0,0,0,0,,,19.2
2024-02-10 11:19:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:19:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:19:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:19:40,,0,1,4,0.400,0,0,0,,,5.40
2024-02-10 11:19:50,,0,6.20,24.9,0,0,0,0,,,31.1
2024-02-10 11:20:00,,0,4.10,23.1,0,0,0,0,,,27.2
2024-02-10 11:20:10,,0,2.80,25.6,0,0,0,0,,,28.4
2024-02-10 11:20:20,,0,2.90,25.6,0,0,0,0,,,28.5
2024-02-10 11:20:30,,0,3,25.6,0,0,0,0,,,28.6
2024-02-10 11:20:40,,0,4.50,23.3,0.100,0,0,0,,,27.9
2024-02-10 11:20:50,,0,7.90,46.3,0.300,0,0,0,,,54.5
2024-02-10 11:21:00,,0,5.70,44,0,0,0,0,,,49.7
2024-02-10 11:21:10,,0,4.60,24.1,0,0,0,0,,,28.7
