sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / PKG","camunda-platform-tasklist-9968d5594-9257r / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-9257r / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-9257r / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / OTHER"
2024-02-14 18:47:00,0.996,0.564,0.316,0.259,1.58,0.443,0.0603,0.0540,0.0264,0.0255,0.0462,0.0288,0,0,0,0,0,0
2024-02-14 18:47:10,0.566,0.430,0.195,0.178,1.01,0.269,0.0441,0.0381,0.0189,0.0174,0.0276,0.0201,0,0,0,0,0,0
2024-02-14 18:47:20,0.647,0.409,0.237,0.216,0.697,0.251,0.0438,0.0399,0.0195,0.0186,0.0276,0.0207,0,0,0,0,0,0
2024-02-14 18:47:30,0.970,0.640,0.308,0.335,1.38,0.456,0.0585,0.0510,0.0255,0.0243,0.0399,0.0282,0,0,0,0,0,0
2024-02-14 18:47:40,0.476,0.691,0.258,0.225,1.04,0.300,0.0420,0.0381,0.0189,0.0174,0.0267,0.0198,0,0,0,0,0,0
2024-02-14 18:47:50,0.954,0.424,0.260,0.249,0.942,0.316,0.0444,0.0393,0.0189,0.0186,0.0285,0.0201,0,0,0,0,0,0
2024-02-14 18:48:00,1.31,0.607,0.363,0.401,1.64,0.454,0.0624,0.0519,0.0258,0.0240,0.0360,0.0267,0,0,0,0,0,0
2024-02-14 18:48:10,0.538,0.482,0.214,0.205,1.14,0.296,0.0417,0.0366,0.0195,0.0174,0.0282,0.0201,0,0,0,0,0,0
2024-02-14 18:48:20,0.778,0.490,0.273,0.288,0.980,0.285,0.0417,0.0387,0.0189,0.0180,0.0282,0.0201,0,0,0,0,0,0
2024-02-14 18:48:30,0.715,0.572,0.385,0.303,1.37,0.582,0.0564,0.0504,0.0252,0.0237,0.0354,0.0270,0,0,0,0,0,0
