sep=,
"Time","restworkerjava-5b45897d78-698vk / worker / PKG","restworkerjava-5cbf76776f-2pph5 / worker / PKG","restworkerjava-644f69b555-lm96x / worker / PKG","restworkerjava-d65564b97-5jrgr / worker / PKG","restworkerjava-5b45897d78-698vk / worker / DRAM","restworkerjava-5cbf76776f-2pph5 / worker / DRAM","restworkerjava-644f69b555-lm96x / worker / DRAM","restworkerjava-d65564b97-5jrgr / worker / DRAM","restworkerjava-5b45897d78-698vk / worker / OTHER","restworkerjava-5cbf76776f-2pph5 / worker / OTHER","restworkerjava-644f69b555-lm96x / worker / OTHER","restworkerjava-d65564b97-5jrgr / worker / OTHER"
2024-02-14 18:53:40,0.198,,,,0.0192,,,,0,,,
2024-02-14 18:53:50,0.236,,,,0.0195,,,,0,,,
2024-02-14 18:54:00,0.266,,,,0.0255,,,,0,,,
2024-02-14 18:54:10,0.203,,,,0.0192,,,,0,,,
2024-02-14 18:54:20,0.200,,,,0.0198,,,,0,,,
2024-02-14 18:54:30,0.269,,,,0.0261,,,,0,,,
2024-02-14 18:54:40,0.229,,,,0.0189,,,,0,,,
2024-02-14 18:54:50,0.210,,,,0.0201,,,,0,,,
2024-02-14 18:55:00,0.273,,,,0.0273,,,,0,,,
2024-02-14 18:55:10,0.201,,,,0.0180,,,,0,,,
2024-02-14 18:55:20,0.190,,,,0.0186,,,,0,,,
2024-02-14 18:55:30,0.270,,,,0.0267,,,,0,,,
2024-02-14 18:55:40,0.194,,,,0.0186,,,,0,,,
2024-02-14 18:55:50,0.206,,,,0.0201,,,,0,,,
2024-02-14 18:56:00,0.269,,,,0.0258,,,,0,,,
2024-02-14 18:56:10,0.190,,,,0.0186,,,,0,,,
2024-02-14 18:56:20,0.256,,,,0.0195,,,,0,,,
2024-02-14 18:56:30,0.265,,,,0.0261,,,,0,,,
2024-02-14 18:56:40,0.199,,,,0.0195,,,,0,,,
2024-02-14 18:56:50,0.245,,,,0.0204,,,,0,,,
2024-02-14 18:57:00,0.272,,,,0.0273,,,,0,,,
2024-02-14 18:57:10,0.201,,,,0.0192,,,,0,,,
2024-02-14 18:57:20,0.197,,,,0.0189,,,,0,,,
2024-02-14 18:57:30,0.270,,,,0.0267,,,,0,,,
2024-02-14 18:57:40,0.196,,,,0.0183,,,,0,,,
2024-02-14 18:57:50,0.201,,,,0.0186,,,,0,,,
2024-02-14 18:58:00,0.262,,,,0.0255,,,,0,,,
2024-02-14 18:58:10,0.266,,,,0.0192,,,,0,,,
2024-02-14 18:58:20,0.212,,,,0.0195,,,,0,,,
2024-02-14 18:58:30,0.286,,,,0.0264,,,,0,,,
2024-02-14 18:58:40,0.197,,,,0.0198,,,,0,,,
2024-02-14 18:58:50,0.579,,,,0.0201,,,,0,,,
2024-02-14 18:59:00,0.298,,,,0.0285,,,,0,,,
2024-02-14 18:59:10,0.276,,,,0.0195,,,,0,,,
2024-02-14 18:59:20,0.195,,,,0.0186,,,,0,,,
2024-02-14 18:59:30,0.261,,,,0.0255,,,,0,,,
2024-02-14 18:59:40,0.206,,,,0.0189,,,,0,,,
2024-02-14 18:59:50,0.204,,,,0.0195,,,,0,,,
2024-02-14 19:00:00,0.260,,,,0.0252,,,,0,,,
2024-02-14 19:00:10,0.200,,,,0.0192,,,,0,,,
2024-02-14 19:00:20,0.202,,,,0.0201,,,,0,,,
2024-02-14 19:00:30,0.275,,,,0.0258,,,,0,,,
2024-02-14 19:00:40,0.216,,,,0.0183,,,,0,,,
2024-02-14 19:00:50,0.194,,,,0.0189,,,,0,,,
2024-02-14 19:01:00,0.274,,,,0.0264,,,,0,,,
2024-02-14 19:01:10,0.212,,,,0.0198,,,,0,,,
2024-02-14 19:01:20,0.194,,,,0.0186,,,,0,,,
2024-02-14 19:01:30,0.255,,,,0.0258,,,,0,,,
2024-02-14 19:01:40,0.197,,,,0.0189,,,,0,,,
2024-02-14 19:01:50,0.202,,,,0.0192,,,,0,,,
2024-02-14 19:02:00,0.269,,,,0.0255,,,,0,,,
2024-02-14 19:02:10,0.191,,,,0.0192,,,,0,,,
2024-02-14 19:02:20,0.215,,,,0.0198,,,,0,,,
2024-02-14 19:02:30,0.269,,,,0.0261,,,,0,,,
2024-02-14 19:02:40,0.193,,,,0.0183,,,,0,,,
2024-02-14 19:02:50,0.197,,,,0.0195,,,,0,,,
2024-02-14 19:03:00,0.289,,,,0.0264,,,,0,,,
2024-02-14 19:03:10,0.195,,,,0.0192,,,,0,,,
2024-02-14 19:03:20,0.223,,,,0.0198,,,,0,,,
2024-02-14 19:03:30,0.258,,,,0.0261,,,,0,,,
2024-02-14 19:03:40,0.206,,,,0.0192,,,,0,,,
2024-02-14 19:03:50,0.197,,,,0.0189,,,,0,,,
2024-02-14 19:04:00,0.268,,,,0.0255,,,,0,,,
2024-02-14 19:04:10,0.206,,,,0.0189,,,,0,,,
2024-02-14 19:04:20,0.210,,,,0.0204,,,,0,,,
2024-02-14 19:04:30,0.275,,,,0.0258,,,,0,,,
2024-02-14 19:04:40,0.195,,,,0.0186,,,,0,,,
2024-02-14 19:04:50,0.209,,,,0.0189,,,,0,,,
2024-02-14 19:05:00,0.264,,,,0.0261,,,,0,,,
2024-02-14 19:05:10,0.212,,,,0.0201,,,,0,,,
2024-02-14 19:05:20,0.196,,,,0.0192,,,,0,,,
2024-02-14 19:05:30,0.275,,,,0.0255,,,,0,,,
2024-02-14 19:05:40,0.193,,,,0.0195,,,,0,,,
2024-02-14 19:05:50,0.208,,,,0.0192,,,,0,,,
2024-02-14 19:06:00,0.285,,,,0.0264,,,,0,,,
2024-02-14 19:06:10,0.205,,,,0.0192,,,,0,,,
2024-02-14 19:06:20,0.248,,,,0.0201,,,,0,,,
2024-02-14 19:06:30,0.269,,,,0.0261,,,,0,,,
2024-02-14 19:06:40,0.201,,,,0.0192,,,,0,,,
2024-02-14 19:06:50,0.219,,,,0.0198,,,,0,,,
2024-02-14 19:07:00,0.268,,,,0.0261,,,,0,,,
2024-02-14 19:07:10,0.206,,,,0.0195,,,,0,,,
2024-02-14 19:07:20,0.205,,,,0.0186,,,,0,,,
2024-02-14 19:07:30,0.256,,,,0.0243,,,,0,,,
2024-02-14 19:07:40,0.249,,,,0.0201,,,,0,,,
2024-02-14 19:07:50,0.206,,,,0.0192,,,,0,,,
2024-02-14 19:08:00,0.319,,,,0.0261,,,,0,,,
2024-02-14 19:08:10,0.236,,,,0.0189,,,,0,,,
2024-02-14 19:08:20,0.202,,,,0.0198,,,,0,,,
2024-02-14 19:08:30,0.272,,,,0.0255,,,,0,,,
2024-02-14 19:08:40,0.196,,,,0.0186,,,,0,,,
2024-02-14 19:08:50,0.198,,,,0.0192,,,,0,,,
2024-02-14 19:09:00,0.262,,,,0.0258,,,,0,,,
2024-02-14 19:09:10,0.200,,,,0.0195,,,,0,,,
2024-02-14 19:09:20,0.198,,,,0.0189,,,,0,,,
2024-02-14 19:09:30,0.253,,,,0.0243,,,,0,,,
2024-02-14 19:09:40,0.221,,,,0.0198,,,,0,,,
2024-02-14 19:09:50,0.208,,,,0.0198,,,,0,,,
2024-02-14 19:10:00,0.280,,,,0.0258,,,,0,,,
2024-02-14 19:10:10,0.223,,,,0.0201,,,,0,,,
2024-02-14 19:10:20,0.200,,,,0.0192,,,,0,,,
2024-02-14 19:10:30,0.271,,,,0.0258,,,,0,,,
2024-02-14 19:10:40,0.186,,,,0.0195,,,,0,,,
2024-02-14 19:10:50,0.196,,,,0.0192,,,,0,,,
2024-02-14 19:11:00,0.264,,,,0.0255,,,,0,,,
2024-02-14 19:11:10,0.202,,,,0.0204,,,,0,,,
2024-02-14 19:11:20,0.203,,,,0.0192,,,,0,,,
2024-02-14 19:11:30,1.16,,,,0.0270,,,,0,,,
2024-02-14 19:11:40,0.197,,,,0.0201,,,,0,,,
2024-02-14 19:11:50,0.203,,,,0.0189,,,,0,,,
2024-02-14 19:12:00,0.270,,,,0.0258,,,,0,,,
