sep=,
"Time","restworkerjava-5c575459f9-sx582 / worker / PKG","restworkerjava-69696875f9-hsbkr / worker / PKG","restworkerjava-698c49cff-vqd6b / worker / PKG","restworkerjava-865c45bdb4-r7jm4 / worker / PKG","restworkerjava-5c575459f9-sx582 / worker / DRAM","restworkerjava-69696875f9-hsbkr / worker / DRAM","restworkerjava-698c49cff-vqd6b / worker / DRAM","restworkerjava-865c45bdb4-r7jm4 / worker / DRAM","restworkerjava-5c575459f9-sx582 / worker / OTHER","restworkerjava-69696875f9-hsbkr / worker / OTHER","restworkerjava-698c49cff-vqd6b / worker / OTHER","restworkerjava-865c45bdb4-r7jm4 / worker / OTHER"
2024-02-17 23:18:00,,,0.301,,,,0.0279,,,,0,
2024-02-17 23:18:10,,,0.294,,,,0.0213,,,,0,
2024-02-17 23:18:20,,,0.220,,,,0.0207,,,,0,
2024-02-17 23:18:30,,,0.280,,,,0.0258,,,,0,
2024-02-17 23:18:40,,,0.210,,,,0.0201,,,,0,
2024-02-17 23:18:50,,,0.260,,,,0.0189,,,,0,
2024-02-17 23:19:00,,,0.239,,,,0.0228,,,,0,
2024-02-17 23:19:10,,,0.222,,,,0.0234,,,,0,
2024-02-17 23:19:20,,,0.436,,,,0.0210,,,,0,
2024-02-17 23:19:30,,,0.295,,,,0.0273,,,,0,
2024-02-17 23:19:40,,,0.216,,,,0.0204,,,,0,
2024-02-17 23:19:50,,,0.217,,,,0.0207,,,,0,
2024-02-17 23:20:00,,,0.293,,,,0.0264,,,,0,
2024-02-17 23:20:10,,,0.229,,,,0.0210,,,,0,
2024-02-17 23:20:20,,,0.211,,,,0.0210,,,,0,
2024-02-17 23:20:30,,,0.296,,,,0.0264,,,,0,
2024-02-17 23:20:40,,,0.234,,,,0.0240,,,,0,
2024-02-17 23:20:50,,,0.236,,,,0.0228,,,,0,
2024-02-17 23:21:00,,,0.331,,,,0.0279,,,,0,
2024-02-17 23:21:10,,,0.204,,,,0.0225,,,,0,
2024-02-17 23:21:20,,,0.215,,,,0.0219,,,,0,
2024-02-17 23:21:30,,,0.285,,,,0.0282,,,,0,
2024-02-17 23:21:40,,,0.227,,,,0.0204,,,,0,
2024-02-17 23:21:50,,,0.429,,,,0.0216,,,,0,
2024-02-17 23:22:00,,,0.287,,,,0.0270,,,,0,
2024-02-17 23:22:10,,,0.220,,,,0.0204,,,,0,
2024-02-17 23:22:20,,,0.227,,,,0.0219,,,,0,
2024-02-17 23:22:30,,,0.290,,,,0.0273,,,,0,
2024-02-17 23:22:40,,,0.222,,,,0.0213,,,,0,
2024-02-17 23:22:50,,,0.211,,,,0.0222,,,,0,
2024-02-17 23:23:00,,,0.303,,,,0.0288,,,,0,
2024-02-17 23:23:10,,,0.215,,,,0.0219,,,,0,
2024-02-17 23:23:20,,,0.204,,,,0.0210,,,,0,
2024-02-17 23:23:30,,,0.283,,,,0.0261,,,,0,
2024-02-17 23:23:40,,,0.229,,,,0.0198,,,,0,
2024-02-17 23:23:50,,,0.224,,,,0.0195,,,,0,
2024-02-17 23:24:00,,,0.291,,,,0.0270,,,,0,
2024-02-17 23:24:10,,,0.226,,,,0.0207,,,,0,
2024-02-17 23:24:20,,,0.220,,,,0.0207,,,,0,
2024-02-17 23:24:30,,,0.329,,,,0.0273,,,,0,
2024-02-17 23:24:40,,,0.217,,,,0.0225,,,,0,
2024-02-17 23:24:50,,,0.231,,,,0.0249,,,,0,
2024-02-17 23:25:00,,,0.319,,,,0.0273,,,,0,
2024-02-17 23:25:10,,,0.214,,,,0.0240,,,,0,
2024-02-17 23:25:20,,,0.225,,,,0.0231,,,,0,
2024-02-17 23:25:30,,,0.292,,,,0.0273,,,,0,
2024-02-17 23:25:40,,,0.282,,,,0.0204,,,,0,
2024-02-17 23:25:50,,,0.223,,,,0.0204,,,,0,
2024-02-17 23:26:00,,,0.286,,,,0.0282,,,,0,
2024-02-17 23:26:10,,,0.202,,,,0.0204,,,,0,
2024-02-17 23:26:20,,,0.228,,,,0.0207,,,,0,
2024-02-17 23:26:30,,,0.295,,,,0.0285,,,,0,
2024-02-17 23:26:40,,,0.217,,,,0.0219,,,,0,
2024-02-17 23:26:50,,,0.230,,,,0.0222,,,,0,
2024-02-17 23:27:00,,,0.293,,,,0.0276,,,,0,
2024-02-17 23:27:10,,,0.209,,,,0.0225,,,,0,
2024-02-17 23:27:20,,,0.218,,,,0.0216,,,,0,
2024-02-17 23:27:30,,,0.304,,,,0.0285,,,,0,
2024-02-17 23:27:40,,,0.261,,,,0.0216,,,,0,
2024-02-17 23:27:50,,,0.243,,,,0.0213,,,,0,
2024-02-17 23:28:00,,,0.297,,,,0.0288,,,,0,
2024-02-17 23:28:10,,,0.248,,,,0.0219,,,,0,
2024-02-17 23:28:20,,,0.235,,,,0.0210,,,,0,
2024-02-17 23:28:30,,,0.288,,,,0.0285,,,,0,
2024-02-17 23:28:40,,,0.217,,,,0.0225,,,,0,
2024-02-17 23:28:50,,,0.221,,,,0.0225,,,,0,
2024-02-17 23:29:00,,,0.289,,,,0.0267,,,,0,
2024-02-17 23:29:10,,,0.229,,,,0.0228,,,,0,
2024-02-17 23:29:20,,,0.209,,,,0.0225,,,,0,
2024-02-17 23:29:30,,,0.278,,,,0.0273,,,,0,
2024-02-17 23:29:40,,,0.215,,,,0.0204,,,,0,
2024-02-17 23:29:50,,,0.222,,,,0.0201,,,,0,
2024-02-17 23:30:00,,,0.297,,,,0.0261,,,,0,
2024-02-17 23:30:10,,,0.206,,,,0.0204,,,,0,
2024-02-17 23:30:20,,,0.221,,,,0.0222,,,,0,
2024-02-17 23:30:30,,,0.297,,,,0.0273,,,,0,
2024-02-17 23:30:40,,,0.215,,,,0.0219,,,,0,
2024-02-17 23:30:50,,,0.293,,,,0.0258,,,,0,
2024-02-17 23:31:00,,,0.290,,,,0.0285,,,,0,
2024-02-17 23:31:10,,,0.227,,,,0.0216,,,,0,
2024-02-17 23:31:20,,,0.230,,,,0.0216,,,,0,
2024-02-17 23:31:30,,,0.300,,,,0.0288,,,,0,
2024-02-17 23:31:40,,,0.234,,,,0.0222,,,,0,
2024-02-17 23:31:50,,,0.231,,,,0.0213,,,,0,
2024-02-17 23:32:00,,,0.285,,,,0.0276,,,,0,
2024-02-17 23:32:10,,,0.221,,,,0.0207,,,,0,
2024-02-17 23:32:20,,,0.226,,,,0.0216,,,,0,
2024-02-17 23:32:30,,,0.304,,,,0.0294,,,,0,
2024-02-17 23:32:40,,,0.235,,,,0.0219,,,,0,
2024-02-17 23:32:50,,,0.238,,,,0.0219,,,,0,
2024-02-17 23:33:00,,,0.319,,,,0.0285,,,,0,
2024-02-17 23:33:10,,,0.217,,,,0.0195,,,,0,
2024-02-17 23:33:20,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:33:30,,,0.242,,,,0.0225,,,,0,
2024-02-17 23:33:40,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:33:50,,,0.183,,,,0.0171,,,,0,
2024-02-17 23:34:00,,,0.242,,,,0.0228,,,,0,
2024-02-17 23:34:10,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:34:20,,,0.183,,,,0.0171,,,,0,
2024-02-17 23:34:30,,,0.240,,,,0.0228,,,,0,
2024-02-17 23:34:40,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:34:50,,,0.183,,,,0.0171,,,,0,
2024-02-17 23:35:00,,,0.242,,,,0.0228,,,,0,
2024-02-17 23:35:10,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:35:20,,,0.180,,,,0.0171,,,,0,
2024-02-17 23:35:30,,,0.242,,,,0.0225,,,,0,
2024-02-17 23:35:40,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:35:50,,,0.182,,,,0.0171,,,,0,
2024-02-17 23:36:00,,,0.242,,,,0.0228,,,,0,
2024-02-17 23:36:10,,,0.181,,,,0.0168,,,,0,
2024-02-17 23:36:20,,,0.411,,,,0.0195,,,,0,
2024-02-17 23:36:30,,,0.242,,,,0.0228,,,,0,
2024-02-17 23:36:40,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:36:50,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:37:00,,,0.241,,,,0.0228,,,,0,
2024-02-17 23:37:10,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:37:20,,,0.180,,,,0.0171,,,,0,
2024-02-17 23:37:30,,,0.242,,,,0.0228,,,,0,
2024-02-17 23:37:40,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:37:50,,,0.181,,,,0.0171,,,,0,
2024-02-17 23:38:00,,,0.242,,,,0.0228,,,,0,
2024-02-17 23:38:10,,,0.187,,,,0.0180,,,,0,
2024-02-17 23:38:20,,,0.447,,,,0.0582,,,,0,
