sep=,
"Time","restworkerjava-586c6d968c-rnl6d / worker / PKG","restworkerjava-6645c55fc5-nrl9d / worker / PKG","restworkerjava-6c74555757-v7cqd / worker / PKG","restworkerjava-84544b4f5-dcldx / worker / PKG","restworkerjava-586c6d968c-rnl6d / worker / DRAM","restworkerjava-6645c55fc5-nrl9d / worker / DRAM","restworkerjava-6c74555757-v7cqd / worker / DRAM","restworkerjava-84544b4f5-dcldx / worker / DRAM","restworkerjava-586c6d968c-rnl6d / worker / OTHER","restworkerjava-6645c55fc5-nrl9d / worker / OTHER","restworkerjava-6c74555757-v7cqd / worker / OTHER","restworkerjava-84544b4f5-dcldx / worker / OTHER"
2024-02-16 11:39:40,,0.220,,,,0.0189,,,,0,,
2024-02-16 11:39:50,,0.294,,,,0.0246,,,,0,,
2024-02-16 11:40:00,,0.225,,,,0.0210,,,,0,,
2024-02-16 11:40:10,,0.225,,,,0.0207,,,,0,,
2024-02-16 11:40:20,,0.282,,,,0.0249,,,,0,,
2024-02-16 11:40:30,,0.223,,,,0.0204,,,,0,,
2024-02-16 11:40:40,,0.213,,,,0.0183,,,,0,,
2024-02-16 11:40:50,,0.287,,,,0.0255,,,,0,,
2024-02-16 11:41:00,,0.221,,,,0.0183,,,,0,,
2024-02-16 11:41:10,,0.221,,,,0.0192,,,,0,,
2024-02-16 11:41:20,,0.298,,,,0.0267,,,,0,,
2024-02-16 11:41:30,,0.224,,,,0.0183,,,,0,,
2024-02-16 11:41:40,,0.212,,,,0.0189,,,,0,,
2024-02-16 11:41:50,,0.294,,,,0.0261,,,,0,,
2024-02-16 11:42:00,,0.225,,,,0.0258,,,,0,,
2024-02-16 11:42:10,,0.217,,,,0.0195,,,,0,,
2024-02-16 11:42:20,,0.277,,,,0.0240,,,,0,,
2024-02-16 11:42:30,,0.216,,,,0.0198,,,,0,,
2024-02-16 11:42:40,,0.302,,,,0.0189,,,,0,,
2024-02-16 11:42:50,,0.295,,,,0.0255,,,,0,,
2024-02-16 11:43:00,,0.220,,,,0.0180,,,,0,,
2024-02-16 11:43:10,,0.225,,,,0.0177,,,,0,,
2024-02-16 11:43:20,,0.292,,,,0.0252,,,,0,,
2024-02-16 11:43:30,,0.237,,,,0.0192,,,,0,,
2024-02-16 11:43:40,,0.235,,,,0.0189,,,,0,,
2024-02-16 11:43:50,,0.290,,,,0.0282,,,,0,,
2024-02-16 11:44:00,,0.232,,,,0.0216,,,,0,,
2024-02-16 11:44:10,,0.238,,,,0.0198,,,,0,,
2024-02-16 11:44:20,,0.287,,,,0.0249,,,,0,,
2024-02-16 11:44:30,,0.217,,,,0.0204,,,,0,,
2024-02-16 11:44:40,,0.214,,,,0.0189,,,,0,,
2024-02-16 11:44:50,,0.288,,,,0.0255,,,,0,,
2024-02-16 11:45:00,,0.213,,,,0.0180,,,,0,,
2024-02-16 11:45:10,,0.219,,,,0.0189,,,,0,,
2024-02-16 11:45:20,,0.298,,,,0.0252,,,,0,,
2024-02-16 11:45:30,,0.218,,,,0.0186,,,,0,,
2024-02-16 11:45:40,,0.218,,,,0.0189,,,,0,,
2024-02-16 11:45:50,,0.304,,,,0.0252,,,,0,,
2024-02-16 11:46:00,,0.220,,,,0.0207,,,,0,,
2024-02-16 11:46:10,,0.226,,,,0.0201,,,,0,,
2024-02-16 11:46:20,,0.284,,,,0.0243,,,,0,,
2024-02-16 11:46:30,,0.217,,,,0.0201,,,,0,,
2024-02-16 11:46:40,,0.217,,,,0.0189,,,,0,,
2024-02-16 11:46:50,,0.288,,,,0.0252,,,,0,,
2024-02-16 11:47:00,,0.218,,,,0.0189,,,,0,,
2024-02-16 11:47:10,,0.218,,,,0.0186,,,,0,,
2024-02-16 11:47:20,,0.290,,,,0.0252,,,,0,,
2024-02-16 11:47:30,,0.218,,,,0.0189,,,,0,,
2024-02-16 11:47:40,,0.230,,,,0.0186,,,,0,,
2024-02-16 11:47:50,,0.301,,,,0.0264,,,,0,,
2024-02-16 11:48:00,,0.231,,,,0.0198,,,,0,,
2024-02-16 11:48:10,,0.216,,,,0.0192,,,,0,,
2024-02-16 11:48:20,,0.287,,,,0.0255,,,,0,,
2024-02-16 11:48:30,,0.215,,,,0.0195,,,,0,,
2024-02-16 11:48:40,,0.225,,,,0.0195,,,,0,,
2024-02-16 11:48:50,,0.305,,,,0.0261,,,,0,,
2024-02-16 11:49:00,,0.212,,,,0.0186,,,,0,,
2024-02-16 11:49:10,,0.216,,,,0.0189,,,,0,,
2024-02-16 11:49:20,,0.292,,,,0.0249,,,,0,,
2024-02-16 11:49:30,,0.215,,,,0.0186,,,,0,,
2024-02-16 11:49:40,,0.237,,,,0.0192,,,,0,,
2024-02-16 11:49:50,,0.297,,,,0.0255,,,,0,,
2024-02-16 11:50:00,,0.294,,,,0.0195,,,,0,,
2024-02-16 11:50:10,,0.219,,,,0.0195,,,,0,,
2024-02-16 11:50:20,,0.303,,,,0.0249,,,,0,,
2024-02-16 11:50:30,,0.212,,,,0.0192,,,,0,,
2024-02-16 11:50:40,,0.219,,,,0.0198,,,,0,,
2024-02-16 11:50:50,,0.300,,,,0.0255,,,,0,,
2024-02-16 11:51:00,,0.213,,,,0.0183,,,,0,,
2024-02-16 11:51:10,,0.262,,,,0.0189,,,,0,,
2024-02-16 11:51:20,,0.281,,,,0.0246,,,,0,,
2024-02-16 11:51:30,,0.215,,,,0.0186,,,,0,,
2024-02-16 11:51:40,,0.219,,,,0.0189,,,,0,,
2024-02-16 11:51:50,,0.307,,,,0.0252,,,,0,,
