sep=,
"Time","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-18 20:47:40,0,3.50,12.8,0,0,0,0,0,0,15.6
2024-02-18 20:47:50,0,3.30,11.2,0,0,0,0,0,0,15.4
2024-02-18 20:48:00,0,3.70,12.8,0,0,0,0,0,0,15.6
2024-02-18 20:48:10,0,3.80,12.8,0,0,0,0,0,0,15.9
2024-02-18 20:48:20,0,2.10,8,0.200,0,0,0,0,0,15.6
2024-02-18 20:48:30,0,3.60,11.3,0,0,0,0,0,0,15.4
2024-02-18 20:48:40,0,3.30,12.7,0,0,0,0,0,0,15.4
2024-02-18 20:48:50,0,3.50,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:49:00,0,3.50,12.1,0,0,0,0,0,0,15.4
2024-02-18 20:49:10,0.100,3.40,11.9,0,0,0,0,0,0,15.3
2024-02-18 20:49:20,0,4,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:49:30,0,3.50,11.3,0,0,0,0,0,0,15.2
2024-02-18 20:49:40,0,3.40,12.7,0,0,0,0,0,0,15.4
2024-02-18 20:49:50,0,3.60,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:50:00,0,3.80,12.1,0,0,0,0,0,0,15.3
2024-02-18 20:50:10,0,3.40,11.9,0,0,0,0,0,0,15.8
2024-02-18 20:50:20,0,2.70,9.60,0.200,0,0,0,0,0,15.6
2024-02-18 20:50:30,0,3.70,11.4,0,0,0,0,0,0,15.5
2024-02-18 20:50:40,0,2.80,12.6,0,0,0,0,0,0,15.4
2024-02-18 20:50:50,0,3.30,12.5,0,0,0,0,0,0,15.4
2024-02-18 20:51:00,0,3,12.3,0,0,0,0,0,0,15.4
2024-02-18 20:51:10,0,3.30,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:51:20,0,3,12,0,0,0,0,0,0,15.4
2024-02-18 20:51:30,0,3,12,0,0,0,0,0,0,15.3
2024-02-18 20:51:40,0,3.20,12.8,0,0,0,0,0,0,15.2
2024-02-18 20:51:50,0,3.60,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:52:00,0,3.20,11.2,0,0,0,0,0,0,15.2
2024-02-18 20:52:10,0,4,12.8,0,0,0,0,0,0,15.6
2024-02-18 20:52:20,0,2.70,8.80,0.200,0,0,0,0,0,15.3
2024-02-18 20:52:30,0,3.40,12,0,0,0,0,0,0,15.3
2024-02-18 20:52:40,0,3.80,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:52:50,0,3.60,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:53:00,0,3.40,11.2,0,0,0,0,0,0,15.3
2024-02-18 20:53:10,0,3.60,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:53:20,0,3.40,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:53:30,0,3.40,11.4,0,0,0,0,0,0,15.4
2024-02-18 20:53:40,0,3.50,12.6,0,0,0,0,0,0,15.4
2024-02-18 20:53:50,0,3.80,12.8,0,0,0,0,0,0,15.6
2024-02-18 20:54:00,0,3.20,11.2,0,0,0,0,0,0,15.4
2024-02-18 20:54:10,0,3.50,12.8,0,0,0,0,0,0,15.8
2024-02-18 20:54:20,0,2.60,9.60,0,0,0,0,0,0,15.5
2024-02-18 20:54:30,0,3.20,12,0.200,0,0,0,0,0,15.4
2024-02-18 20:54:40,0,3.30,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:54:50,0,3.30,11.2,0,0,0,0,0,0,15.4
2024-02-18 20:55:00,0,3.40,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:55:10,0,3.40,11.2,0,0,0,0,0,0,15.2
2024-02-18 20:55:20,0,3.10,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:55:30,0,3.60,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:55:40,0,3.10,11.2,0,0,0,0,0,0,15.1
2024-02-18 20:55:50,0,3.80,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:56:00,0,3.80,11.8,0,0,0,0,0,0,15.3
2024-02-18 20:56:10,0,2.80,12.2,0,0,0,0,0,0,15.5
2024-02-18 20:56:20,0,3.50,12,0,0,0,0,0,0,15.5
2024-02-18 20:56:30,0,3,10.4,0.200,0,0,0,0,0,15.3
2024-02-18 20:56:40,0.200,3.80,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:56:50,0,3.60,12.1,0,0,0,0,0,0,15.5
2024-02-18 20:57:00,0,3.40,11.9,0,0,0,0,0,0,15.5
2024-02-18 20:57:10,0,3.70,12.8,0,0,0,0,0,0,15.6
2024-02-18 20:57:20,0,3.10,11.2,0,0,0,0,0,0,15.4
2024-02-18 20:57:30,0,3,12,0,0,0,0,0,0,15.4
2024-02-18 20:57:40,0,3.30,12.1,0,0,0,0,0,0,15.3
2024-02-18 20:57:50,0,3,11.9,0,0,0,0,0,0,15.3
2024-02-18 20:58:00,0,3.40,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:58:10,0,3.80,12.1,0,0,0,0,0,0,15.4
2024-02-18 20:58:20,0,3.10,12,0,0,0,0,0,0,15.6
2024-02-18 20:58:30,0,2.50,10.3,0.200,0,0,0,0,0,15.2
2024-02-18 20:58:40,0,3.50,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:58:50,0,3.20,11.4,0,0,0,0,0,0,15.2
2024-02-18 20:59:00,0,3.20,12.7,0,0,0,0,0,0,15.1
2024-02-18 20:59:10,0,3.30,12.7,0,0,0,0,0,0,15.3
2024-02-18 20:59:20,0,3.40,12.8,0,0,0,0,0,0,15.4
2024-02-18 20:59:30,0,3.30,12.1,0,0,0,0,0,0,15.4
2024-02-18 20:59:40,0,3.10,11.9,0,0,0,0,0,0,15.4
2024-02-18 20:59:50,0,3.50,12.8,0,0,0,0,0,0,15.4
2024-02-18 21:00:00,0,3.50,12.8,0,0,0,0,0,0,15.5
2024-02-18 21:00:10,0,3.20,11.2,0,0,0,0,0,0,15.4
2024-02-18 21:00:20,0,3.50,12.8,0,0,0,0,0,0,15.7
2024-02-18 21:00:30,0,2.30,8.80,0.200,0,0,0,0,0,15.2
2024-02-18 21:00:40,0.100,3.10,12,0,0,0,0,0,0,15.3
2024-02-18 21:00:50,0,3,12,0,0,0,0,0,0,15.2
2024-02-18 21:01:00,0,3.20,12.8,0,0,0,0,0,0,15.2
2024-02-18 21:01:10,0,3,12,0,0,0,0,0,0,15.1
2024-02-18 21:01:20,0,3.40,12.8,0,0,0,0,0,0,15.2
2024-02-18 21:01:30,0,3.40,12.1,0,0,0,0,0,0,15.2
2024-02-18 21:01:40,0,3,11.9,0,0,0,0,0,0,15.1
2024-02-18 21:01:50,0,3.80,12.8,0,0,0,0,0,0,15.1
2024-02-18 21:02:00,0,2.80,11.2,0,0,0,0,0,0,15.1
2024-02-18 21:02:10,0,3.60,12.8,0,0,0,0,0,0,15.1
2024-02-18 21:02:20,0,3.70,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:02:30,0,2.70,9.60,0.200,0,0,0,0,0,15.3
2024-02-18 21:02:40,0,3.70,11.4,0,0,0,0,0,0,15.3
2024-02-18 21:02:50,0,3.10,12.6,0,0,0,0,0,0,15.3
2024-02-18 21:03:00,0,3.80,12.8,0,0,0,0,0,0,15.5
2024-02-18 21:03:10,0,3.20,12.8,0,0,0,0,0,0,15.4
2024-02-18 21:03:20,0,3.20,11.2,0,0,0,0,0,0,15.3
2024-02-18 21:03:30,0,3.40,12.8,0,0,0,0,0,0,15.5
2024-02-18 21:03:40,1.40,3.90,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:03:50,0,3,11.2,0,0,0,0,0,0,15.6
2024-02-18 21:04:00,0,3.50,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:04:10,0,3.50,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:04:20,0,3.30,11.2,0,0,0,0,0,0,15.8
2024-02-18 21:04:30,0,2.50,9.60,0.200,0,0,0,0,0,15.5
2024-02-18 21:04:40,0,3.60,11.2,0,0,0,0,0,0,15.4
2024-02-18 21:04:50,0,3.40,12.8,0,0,0,0,0,0,15.4
2024-02-18 21:05:00,0,3.30,12.8,0,0,0,0,0,0,15.4
2024-02-18 21:05:10,0,3.40,11.2,0,0,0,0,0,0,15.4
2024-02-18 21:05:20,0,3.10,12.8,0,0,0,0,0,0,15.4
2024-02-18 21:05:30,0,3.30,12.8,0,0,0,0,0,0,15.2
2024-02-18 21:05:40,0,3.50,11.2,0,0,0,0,0,0,15.3
2024-02-18 21:05:50,0,3.60,12.8,0,0,0,0,0,0,15.3
2024-02-18 21:06:00,0,3.80,12.8,0,0,0,0,0,0,15.3
2024-02-18 21:06:10,0,3,11.2,0,0,0,0,0,0,15.3
2024-02-18 21:06:20,0,3.60,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:06:30,0,2.70,9.60,0.200,0,0,0,0,0,15.4
2024-02-18 21:06:40,0,3,11.2,0,0,0,0,0,0,15.2
2024-02-18 21:06:50,0,3.50,12.8,0,0,0,0,0,0,15.3
2024-02-18 21:07:00,0,4,12.8,0,0,0,0,0,0,15.5
2024-02-18 21:07:10,0,3.40,11.2,0,0,0,0,0,0,15.3
2024-02-18 21:07:20,0,3.30,12.8,0,0,0,0,0,0,15.3
2024-02-18 21:07:30,0,3.30,11.3,0,0,0,0,0,0,15.3
2024-02-18 21:07:40,0,3,12.7,0,0,0,0,0,0,15.3
2024-02-18 21:07:50,0,3.40,11.4,0,0,0,0,0,0,15.1
2024-02-18 21:08:00,0,3.30,12.6,0,0,0,0,0,0,15.3
2024-02-18 21:08:10,0,3.60,12.8,0,0,0,0,0,0,15.3
2024-02-18 21:08:20,0,2.80,11.2,0,0,0,0,0,0,15.4
2024-02-18 21:08:30,0,3.10,11.2,0.200,0,0,0,0,0,15.4
2024-02-18 21:08:40,0,3.30,12,0,0,0,0,0,0,15.3
2024-02-18 21:08:50,0,3.90,12.8,0,0,0,0,0,0,15.3
2024-02-18 21:09:00,0,3.60,12.1,0,0,0,0,0,0,15.4
2024-02-18 21:09:10,0,3.10,11.9,0,0,0,0,0,0,15.3
2024-02-18 21:09:20,0,3.80,12.8,0,0,0,0,0,0,15.5
2024-02-18 21:09:30,0,3.50,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:09:40,0,3.50,11.2,0,0,0,0,0,0,15.6
2024-02-18 21:09:50,0,3.60,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:10:00,0,3.50,12.8,0,0,0,0,0,0,15.6
2024-02-18 21:10:10,1.40,3.20,11.2,0,0,0,0,0,0,15.8
2024-02-18 21:10:20,0,3.30,12.8,0,0,0,0,0,0,15.9
2024-02-18 21:10:30,0,2.70,9.60,0.200,0,0,0,0,0,15.6
2024-02-18 21:10:40,0,3.20,12.1,0,0,0,0,0,0,15.5
2024-02-18 21:10:50,0,3,12.7,0,0,0,0,0,0,15.5
