sep=,
"Time","restworkerjava-58d6f48b94-rbd6b / worker / PKG","restworkerjava-7885b99b5f-9mrn5 / worker / PKG","restworkerjava-85d7c5b9df-wpdkg / worker / PKG","restworkerjava-58d6f48b94-rbd6b / worker / DRAM","restworkerjava-7885b99b5f-9mrn5 / worker / DRAM","restworkerjava-85d7c5b9df-wpdkg / worker / DRAM","restworkerjava-58d6f48b94-rbd6b / worker / OTHER","restworkerjava-7885b99b5f-9mrn5 / worker / OTHER","restworkerjava-85d7c5b9df-wpdkg / worker / OTHER"
2024-02-10 11:27:50,0.193,,,0.0195,,,0,,
2024-02-10 11:28:00,0.263,,,0.0291,,,0,,
2024-02-10 11:28:10,0.380,,,0.0201,,,0,,
2024-02-10 11:28:20,0.121,,,0.0180,,,0,,
2024-02-10 11:28:30,0.163,,,0.0240,,,0,,
2024-02-10 11:28:40,0.121,,,0.0177,,,0,,
2024-02-10 11:28:50,0.119,,,0.0177,,,0,,
2024-02-10 11:29:00,1.12,,,0.0321,,,0,,
2024-02-10 11:29:10,0.188,,,0.0192,,,0,,
2024-02-10 11:29:20,0.184,,,0.0192,,,0,,
2024-02-10 11:29:30,0.257,,,0.0261,,,0,,
2024-02-10 11:29:40,0.197,,,0.0192,,,0,,
2024-02-10 11:29:50,0.691,,,0.0204,,,0,,
2024-02-10 11:30:00,0.549,,,0.0354,,,0,,
2024-02-10 11:30:10,0.246,,,0.0243,,,0,,
2024-02-10 11:30:20,0.205,,,0.0204,,,0,,
2024-02-10 11:30:30,0.250,,,0.0264,,,0,,
2024-02-10 11:30:40,0.193,,,0.0189,,,0,,
2024-02-10 11:30:50,0.178,,,0.0189,,,0,,
2024-02-10 11:31:00,0.242,,,0.0270,,,0,,
2024-02-10 11:31:10,0.187,,,0.0189,,,0,,
2024-02-10 11:31:20,0.122,,,0.0183,,,0,,
2024-02-10 11:31:30,0.162,,,0.0237,,,0,,
2024-02-10 11:31:40,0.121,,,0.0177,,,0,,
2024-02-10 11:31:50,0.120,,,0.0177,,,0,,
